"Готовя что-либо на пару (например, котлеты), подсолите воду. ",От этого поднимется температура кипения и еда приготовится в полтора раза быстрее.
"Противни после готовки нужно не мыть, а протирать пергаментной бумагой или чистить солью.",Тогда пригоревшие остатки еды будут лучше слезать. Чтобы они не ржавели - смажьте их потом жиром.
"Перед тем, как пользоваться мясорубкой, обязательно каждый раз обдайте ее кипятком.","Таким образом вы гарантированно убьете любых паразитов, которые могут оставаться после последней готовки."
"Если перед тем, как мыть после мяса мясорубку или терку после сыра, пропустить через нее сырой картофель или кусок черствого хлеба.","Картофель и хлеб обладают ""собирательными"" свойствами и позволят быстрее собрать остатки мяса или сыра."
"Терка снова будет острой, если вы протрете ее наждачной бумагой.",Старайтесь использовать более мелкую наждачку для достижения наилучшего эффекта.
"При готовке всегда следуйте правилу открывать крышки кастрюль, начиная с противоположной от себя стороны",Так вы гарантированно не ошпаритесь.
"Зеленый салат можно освежить, подержав его несколько минут в теплой воде.",Только не переборщите со слишком теплой водой.
"Если перед жаркой рыбы подержать ее в молоке, обвалять в муке и положить жарить в растительном масле, то вы получите очень вкусное блюдо.",Рыба станет более нежной и мягкой.
"При приготовлении мучных изделий с изюмом, прежде чем положить изюм в тесто, припудрите его мукой.",После этого он не будет опускаться на дно.
"Всю стеклянную посуду - стаканы, вазы - можно отмыть без специальных средств. ",Для этого в теплую воду нужно добавить немного уксуса.
Потемневшие эмалированные кастрюли надо прокипятить с любым составом для мытья посуды.,Не забудьте после этого промыть их простой горячей водой.
"Если что-то подгорело в кастрюле, можно налить на дно холодной воды и насыпать соли. ","Через несколько часов подогреть, а затем можно будет легко удалить остатки пищи."
"Сковороды можно чистить легко так: слегка подогреть их и протереть солью, а затем пергаментом.","Если нет пергамента, можно воспользоваться обычной бумагой."
"Чтобы формочка с водой для льда не примерзла в морозилке холодильника, нужно предварительно натереть ее свечой.",Мажьте воском только снизу.
"Крупу и крахмал лучше хранить в банках с притертой крышкой - жестяных, стеклянных или фаянсовых.","В таких банках крышка будет легко открываться, а крупа храниться дольше."
"Чтобы ножи, ножницы и др. было легче заточить, можно поместить их в слабый соленый раствор на полчаса.","После этого их можно эффективно точить, не вытирая."
Не стоит сушить мясорубку возле источника тепла.,От чрезмерного тепла тупятся ножи.
"Не варите каши в эмалированной посуде, так как каши в ней пригорают.",Лучше варить каши в стальных кастрюлях.
"Жирные пятна на плите нужно посыпать солью, а затем уже оттирать.",Так вы потратите гораздо меньше усилий на чистку.
"В кухне неприятно пахнет. Налейте на сковороду немного столового уксуса и держите на огне, пока он не испарится.",Уксус эффективно обезвредит любые запахи.
"Чтобы руки не пахли луком, протрите их резаной зеленью петрушки. Чтобы руки не пахли чесноком, протрите их резаной зеленью сельдерея.","Поэтому соблюдайте верный порядок нарезки лука, чеснока и зелени."
"Снять налет от чая и кофе можно, протерев чашку столовым уксусом.",Вместо уксуса можно использовать крепкий раствор поваренной соли.
"При добавке нескольких капель нашатырного спирта к воде, предназначенной для мытья рук, с них удаляются неприятные запахи.","Главное, не переборщите с количеством нашатыря."
"Кастрюли и чайники, потемневшие изнутри, приобретут утраченный цвет, если прокипятить в них кожуру от яблок, груш или лимона.","Это гораздо эффективнее, чем использование уксуса."
"Деревянная посуда легко впитывает неприятный запах. Для его удаления, посуду нужно протереть теплой водкой.",Спирт хорошо забирает любые запахи.
"Стеклянные вазочки будут блестеть, как хрустальные, если их сначала вымыть в теплой соленой воде, а затем ополоснуть холодной водой.",Можно добавить в теплую воду лимонной кожуры для лучшего эффекта.
"Ложки из мельхиора, столовое серебро и фарфор моют холодной водой с небольшим количеством нашатырного спирта.","Если делать это регулярно, то столовые приборы будут блестеть как новые."
"Хрустальную посуду не мойте в горячей воде, от этого она мутнеет и покрывается сеткой мелких морщин.",Используйте только холодную воду. После мытья хрусталь можно протереть шерстяной тряпочкой.
"Посуду из-под молочных продуктов, теста и яиц нужно мыть только холодной водой.",От горячей воды белок сворачивается и накрепко пристает к посуде.
"Начинать мыть посуду нужно с менее загрязненной, например, с чайных ложек и блюдец. Заканчивать мытье нужно самыми жирными тарелками.",Так вы сэкономите себе немало минут на мытье посуды.
"Разделочные доски, впитавшие в себя запах лука, мяса, рыбы, всегда нужно начинать мыть холодной водой.","Она лучше, чем горячая отбивает запахи."
"Если пирог с трудом отделяется от противня, нужно его обернуть мокрым и холодным полотенцем или подержать над паром.","Нескольких минут хватит для того, чтобы пирог отделился от поверхности."
"Чтобы свежая рыба не пахла тиной, следует промыть ее в крепком холодном растворе соли.","Используйте для этого холодную воду, она лучше чем теплая отбивает запахи."
"Чтобы жир при жарке меньше разбрызгивался, надо горячую сковороду посыпать солью, а затем добавлять жир.",Используйте мелкую соль для лучшего эффекта.
"Яйца с треснувшей скорлупой не вытекут, если их варить в соленой воде.",Соленая вода также ускоряет процесс готовки яиц на несколько минут.
"Зелень и овощи сохранят свой цвет, если в воду, в которой они варятся, добавить щепотку питьевой соды.",Можно также не закрывать полностью крышку кастрюли для лучшего эффекта.
"Печенка будет очень вкусной, если ее перед жаркой 2-3 часа вымочить в молоке.",Используйте для вымачивания жирное молоко.
"Чешуя с рыбы легко очистится, если перед чисткой рыбу опустить в кипящую воду на несколько секунд.",Можете также подсолить воду для уничтожения неприятных запахов.
"Очищенный картофель до варки, чтобы он не потемнел, необходимо держать в холодной воде, не разрезая, но не очень долго. ",Но не держите картофель больше часа в этой воде.
"Если во время варки варенья сироп становится густым, а плоды сморщиваются и не делаются прозрачными, то к сиропу нужно добавить воду.",Добавляйте воду по чуть-чуть и постоянно помешивайте. 
"Варенье не засахарится, если во время варки вытирать края таза намоченным в холодной воде полотенцем.",Используйте для этого чистую минеральную воду.
"Варенье в открытой банке лучше сохранится, если сверху насыпать 1 см сахарного песка.",Так в варенье гарантированно не появится плесень.
Лучше всего варить варенье в алюминиевой посуде или посуде из нержавеющей стали. ,При варке в медной посуде снижается содержание витамина С.
Все рыбные консервы сразу после вскрытия нужно переложить в фарфоровую или стеклянную посуду. ,Открытые консервы в металлических банках могут приобрести неприятный металлический привкус.
"Вместо дрожжей в тесто можно добавить ложку коньяка или рома - эффект будет такой же, а тесто станет вкуснее.",Используйте для этого только хороший алкоголь.
"Чтобы при разделке дрожжевого теста оно не прилипало к рукам, нужно смазать их растительным маслом.",Руки перед смазыванием маслом должны быть сухими!
"Мягкое тесто легче разделать, если покрыть его пергаментной бумагой и раскатать согретой скалкой или бутылкой с теплой водой.",Не используйте при этом обычную бумагу.
"Дрожжевое тесто будет мягким, пышным и воздушным, если непосредственно перед выпечкой в него добавить остывший вареный картофель.",Картофелину при этом можно натереть на мелкой терке.
"Определить свежесть купленных яиц можно, положив их в банку с соленой водой. ","Свежее яйцо опустится на дно, несвежее - вплывет."
"Сваренное несколько дней назад яйцо будет казаться только что приготовленным, если опустить его на 15-20 с в кипяток.","Не ешьте яйца, сваренные более 3 дней назад."
"Яичница, поджаренная на слабом огне, вкуснее той, что жарилась на сильном.",Так оно будет более равномерна прожарена и не будет подгорать.
"Лимоны можно хорошо сохранить в банке, на дно которой насыпан слой соли.",Не забудьте поставить банку в холодильник.
"Вкус горчицы значительно улучшиться, если в нее добавить немного меда.",Используйте для этого натуральный пчелиный мед.
"Если сушеные грибы подержать несколько часов в чуть подсоленном молоке, они станут как свежие.",После этого грибы можно варить или жарить.
"Чтобы молоко быстрее вскипело, не пригорело и сохранялось дольше, на дно кастрюли нужно положить кусочек сахара.","По возможности, используйте для этих целей коричневый сахар - он полезнее!"
"Испеченные блины можно хранить завернутыми в фольгу в холодильнике - 2 дня, в морозилке - несколько недель. ",При этом они не утратят вкусовых качеств.
"2-3 столовые ложки сахарного песка, добавленные в тесто, сделают блины более хрустящими и окрасят в нежный золотистый цвет.","По возможности, используйте для этих целей коричневый сахар."
"Блины будут более рыхлыми (но и более толстыми), если в тесто сначала положить желтки.",Белки следует добавлять несколько позже взбитыми в пену.
"Готовые блины не остынут, если тарелку, куда их складывают прямо со сковородки, держать на кастрюле с кипящей водой.","Следите, чтобы у пара от кипящей воды был выход."
"Пересоленный суп можно спасти, добавив в него картошки и/или риса, которые впитают соль.",По окончании варки лишний картофель можно вынуть.
"Макароны и кашу, разогретые в микроволновке, лучше сбрызнуть водой.","Также их можно полить кетчупом, соусом или любой жидкой приправой для смягчения."
"Поел креветок — не три глаза руками, пока не помоешь руки.",Иначе глаза может нестерпимо жечь.
На самой низкой мощности в микроволновке отлично расходится желатин и готовится горячий шоколад. ,Не путайте минимальную мощность и режим разморозки.
Хотите получить нежный творог? Протрите его через сито.,Можете также воспользоваться миксером на минимальной мощности.
"Если от запаха лука, чеснока или алкоголя не удаётся избавиться зубной пастой, ополаскивателями и т.п. — съешьте кусочек обычной халвы. ","Если нет и халвы, то пожуйте немного грецких орехов или петрушки."
Рис и гречку жуй с повышенной осторожностью. ,Зубы вам еще пригодятся!
"Выпивайте стакан ВОДЫ за 15 мин до еды, еду не запивайте.","Так вы будете менее подвержены набору веса, а еда будет лучше перевариваться."
Печёте пиццу? Заверните в края тонкие полосочки сыра.,Края будут менее жесткие и станут гораздо вкуснее!
"Чтобы разрезанный арбуз оставался сочным и не стекал, надо класть его в холодильник разрезанной стороной вниз, а не наоборот.",Так арбуз не стекает и значительно дольше остается свежим.
Обнаружили в холодильнике творог с истекающим сроком годности? Пожарьте сырники!,Термическая обработка убъет вредные микроорганизмы.
Купите мультиварку.,"Мультиварка сэкономит вам кучу времени, готовя исключительно полезную и здоровую пищу."
"Если нужно слить воду из кастрюли с макаронами, а дуршлага нет, положите в кастрюлю ложку, так, чтобы ручка высовывалась наружу.","Так вода сможет вытечь, а макароны никуда не денутся."
"Чтобы пирог уж точно не прилип к сковороде, обсыпьте форму манкой.","Сначала смажьте форму маслом, а затем насыпьте тонкий слой манной муки."
Не используйте горячую воду из-под крана для приготовления пищи. ,"В горячей воде могут находиться сульфат алюминия, либо свинец."
"Будьте осторожны, нагревая слойки в микроволновке.","Слойка может быть слегка теплой снаружи, а жидкая начинка может здорово обжечь рот."
"Плохо чистится киви? Не парься, разрежь его пополам и кушай ложкой!",Никакого стекающего по рукам сока и испачканных рук!
Большой кусок мяса перед заморозкой разрежь на несколько мелких. ,Мясо будет гораздо проще потом разморозить.
Не солите мясо и не посыпайте мясо приправами перед жаркой!,"Делайте это во время жарки, иначе рискуете получить черезчур жесткую корочку."
При приготовлении яичницы посыпьте сковороду солью. ,Так яичница меньше пригорает и получается вкуснее.
"Если посадили на одежду жирное пятно, посолите его.",Соль отлично впитывает жир. Не забудьте после этого застирать пятно.
"Надоело однообразие в еде? Приправы выгодно изменят привычный вкус. К тому же, многие из них полезны для здоровья.","Речь идет о натуральных травах и пряностях, богатых полезными микроэлементами."
"Разогревая еду в микроволновке, положите на тарелку кубик льда. ",Лед хорошо компенсирует испарение воды.
"Помните, что составы продуктов пишутся в порядке убывания массовой доли компонентов.",Ради интереса обратите внимание на количество сахара в большинстве фруктовых соков и ужаснитесь.
"Не лазайте в банку за маринованными огурцами руками, иначе появится плесень!",Используйте для этого чистую вилку.
"Если вы медленно едите масло, то можно половину пачки убирать в морозилку.","Кстати на замороженном масле хорошо видно, насколько оно натуральное. Настоящее раскалывается и плохо режется."
"Не разогревайте в СВЧ-печи яйца, а также не используйте металлические тарелки. ",Электромагнитные волны плохо проникают через металл и искрят. Яйца же просто взрываются.
"Надламывайте хвостик банана, а не откусывайте макушку.",Так банан чистится гораздо быстрее.
"Большинство пищевых отравлений начинаются со слов: ""да что ему в холодильнике будет?""","Внимательно следите за тем, сколько у вас хранятся продукты в холодильнике."
"Пробуйте огурцы перед тем, как положить их в салат.","Горький огурец испортит весь салат, а вы можете этого не заметить сразу."
Попробуйте заменить чеснок имбирем.,"Имбирь также остр как и чеснок, убивает микробы, но обладает при этом приятным запахом."
"Попробуйте использовать другие салатные заправки, кроме майонеза.","Яблочный уксус, оливковое масло или сметана гораздо полезнее и дают меньше калорий."
Собираетесь запекать что-либо в духовке? Застелите противень фольгой или бумагой для выпечки.,И противень отмывать не нужно.
Не добавляйте в блюда перец-горошек.,Разжевывать острый перечный горох не самое приятное занятие.
При варке мяса надо обязательно после закипания бульона слить воду.,"В ней много трупных ядой, мочевой кислоты и креатина. Так что помойте мясо и снова залейте чистой водой."
"Если нет опыта в приготовлении блинов, лучше используйте кисломолочную основу, а не молоко.",Блины на основе кефира или йогурта меньше пригорают и меньше рвутся.
Свежесть рыбы легко определить по цвету ее жабер.,У свежей рыбы влажные блестящие жабры красного или розового цвета.
Ешьте морковку вместе с растительным маслом или сметаной. ,"Витамин A, содержащийся в каротине, гораздо лучше усваивается в сочетании с жирами."
"Макароны лучше покупать из твердых сортов пшеницы, а не из мягких.","Такие макароны качественней, лучше варятся, содержат больше растительного белка, меньше углеводов и больше витаминов и минералов."
Никогда не кипятите молоко или что-то отличное от воды в электрическом чайнике.,Жир и органические частицы будут пригорать оставаться на кипятильнике.
Не можете открыть банку с завинчивающейся крышкой? Пустите туда воздух!,Достаточно чуток поддеть банку обычной открывалкой для бутылок или ножом.
"Если хотите проверить, свежи ли консервы, которые вы собираетесь открыть, нажмите на дно банки так, чтобы на жести образовалась вмятина. ",Если спустя некоторое время вдавленное место начнет немного выпрямляться - консервы испорчены.
"Распределите фарш перед замораживанием таким образом, чтобы пакет оказался плоским.",Так фарш будет размораживаться быстрее и равномерней.
"При готовке шашлыка, чтобы угли не горели от капающего жира, посыпаем их солью, а не водой.",Так угли не будут затухать раньше времени.
"Если во время резки лука жевать жевательную резинку, то вы не будете плакать.",Мятная резинка будет самым лучшим выбором.
"Для того, чтобы быстрее охладить напиток, оберните его в бумажное полотенце и положите в морозильную камеру.",Напиток станет холодным менее чем за 15 минут.
"Тёрку, на которой вы собираетесь натереть сыр, смажьте растительным маслом.","От этого сыр не будет склеиваться, а тёрку легче вымыть."
"Чтобы узнать, варёное яйцо или сырое, покрутите его на столе.","Сырые яйца быстро останавливаются, а варёные крутятся — это помогает отличать их от остальных."
Готовишь — используй таймер!,"Чтобы спокойно уйти с кухни, использовать свободное время и не пожарить борщ — просто заведи таймер. Он есть в телефоне."
Мой посуду сразу после готовки/еды.,Так всё отмывается намного проще и быстрее.
"Мясной бульон солят за полчаса до окончания варки, картофель и рыбный бульон - в самом начале, грибной отвар - в самом конце.","Когда варите бобовые, солите их только после размягчения."
"Отбивая мясо, оберните его пищевой плёнкой.","Таким образом можно избавить себя от необходимости отмывать от брызг и кусочков себя, окружающие вещи, доску и молоток."
Не тушите горящее масло водой.,Масло сильно вспыхнет.
Не храните хлеб в полиэтиленовом пакете.,Он так быстрее плесневеет. От буханки испаряется влага и в условиях кулька концентрируется на её поверхности.
"Если вы ставите суп или чайник на плиту и идете за комп, берите с собой ложку. ","Это напомнит вам, что вы что-то разогреваете."
Любите готовить? Заведите себе фартук.,"Это не ""бабушкина штучка"", а очень полезный аксессуар. Защитит от брызг масла и кусочков еды."
"Чтобы не ждать пока закипит вода, подогрейте её в электрочайнике.","Затем вылейте уже кипяченую воду в кастрюлю, стоящую на огне."
"Когда наливаешь сок из коробки, делай в ней небольшую дырочку ножом.",Тогда сок не расплескается и будет выливаться аккуратной струйкой.
Можно легко отделить желток от белка с помощью воронки.,"Нужно вставить в стакан воронку, разбить над ней яйцо — белок соскользнет вниз, желток останется в воронке."
"Чтобы собрать пену с закипающего бульона (или жир с уже готового), сдвиньте кастрюлю с конфорки на 2/3 и увеличьте нагрев!","Процесс сильного кипения на части поверхности жидкости соберёт пену (жир) на спокойном «участке», откуда легко отчерпать."
"Вареные яйца чистятся лучше, если сразу после варки поместить их под струю холодной воды на 1-2 минуты. ","Тогда скорлупа снимается с пленочкой, а не с белком."
Удалить налет с посуды поможет сода.,Если на чайной кружке остались пятна от кофе и чая — трем небольшим количеством соды — все проходит
Бутылки с вином храните горизонтально. ,"Вино должно смачивать пробку, чтобы она не рассохлась."
"Рассыпали на пол манку, какао, муку? Пылесосьте! ",Не лезьте сразу тряпкой: только развезёте грязь! 
Никогда не трите сыр мокрыми руками.,Вместе с сыром протрете себе пальцы до крови и не заметите.
"Доставая горячий стакан из микроволновки, старайтесь взять его как можно ближе ко дну.","Там посуда греется меньше, и вы не обожжетесь."
