"Старайтесь не пялиться в монитор человека, к столу которого Вы подходите.",Это сильно раздражает людей.
Держите чашку с чаем или в принципе с жидкостью на расстоянии от ноутбука(особенно от макбука).,Одно резкое движение и чашка чая обойдется вам в $1000.
"Приобретите кистевой эспандер, если вы много времени проводите с клавиатурой и мышкой. ","Он разомнёт ваши пальцы, сделает массаж кистевых суставов, укрепит мышцы предплечья"
Запомните сочетания клавиш. Это заметно повысит темп работы.,"Гораздо проще и быстрее нажать 2 кнопки, чем использовать многочисленные пункты меню."
Не используйте личные пароли нигде на работе.,Разделяйте работу и личную жизнь.
При работе за компьютером делайте перерыв каждые полчаса.,"Так у вас не будет болеть голова к концу рабочего дня, а глаза не будут уставать."
Покупаете ноутбук для разъездной работы? Не гонитесь за диагональю. ,"Вес ноутбука и его диагональ чрезывычайно важны, если вы используете его именно как портативный компьютер."
Принеси на работу сменную обувь.,Сидение целый день в уличной обуви плохо влияет на кровоснабжение ступней.
"Меняйте работу, если она вам не нравится. ","Мы живем всего один раз. Терпеть то, что можно поменять, просто глупо."
Для удачной карьеры важно не отказываться от самых неподъемных дел. ,Все когда-то делается в первый раз. Потом будет легче.
"Если на работе вы сидите в интернете, сворачивая, переключайтесь на нейтральную вкладку.","Чтобы на панели задач не было видно названия страницы в стиле ""Анекдоты"". Начальство может подойти в любой момент."
Купи вторую зарядку для мобильника и отнеси её на работу.,Так вам не надо будет постоянно таскать с собой лишние провода.
Одна капля эфирного масла эвкалипта куда-нибудь на пол на рабочем месте принесёт хорошую концентрацию и работоспособность.,Не переборщите с количеством масла.
"Составьте свое полное резюме и держите его всегда актуальным, закрытым и в интернете.",Птица удачи часто пролетает очень быстро.
"«Он меня убьёт, если я допущу ошибку». От таких мыслей о своём начальнике надо избавляться. ","Начальник — не зверь. Не допускает ошибок тот, кто ничего не делает."
"Если вы ищете работу без опыта через сайты кадровых агентств — знайте, что большое количество предложений будут сетевым маркетингом.",Старайтесь искать работу через тематические сообщества и специализированные сайты.
"Пусть результат будет не самым приближенным к идеалу, зато вовремя.","Лучше хороший план сегодня, чем идеальный план завтра."
Перед поиском работы приведите в порядок свои страницы в социальных сетях!,Работодатели часто ищут в Facebook и других сетях страницы соискателей.
"Не занимайся тем, что приносит деньги, занимайся тем, что нравится.","Не стоит хвататься за каждую возможность заработать копейку. Если тебе не нравится работа, не берись за неё."
"Не носите работу домой. Лучше задержаться на работе, чем нести домой что-то доделать. И вообще, это вопрос принципа — работать надо на работе","Работать надо на работе, а дома — уделять время близким, себе и отдыху."
Не берите детей с собой на работу. ,"Чужие дети часто раздражают, особенно, если шумят."
Вы должны быть готовы к вопросу о причинах своего увольнения в предыдущей компании.,"Не стесняйтесь говорить о том, что на прежнем месте работы Вас что-то не устраивало."
"Никогда не плати за работу прежде, чем она закончена. ",Оплачивайте только результат. Любая работа - это достижение конкретной цели.
"Снимайте кольца, если собираетесь выполнять травмоопасную работу.","Кольца могут зацепиться за что-либо, а вы останетесь без пальца."
Не устраивайте жену (девушку) к себе на работу.,"Во-первых — будете отвлекаться. Во-вторых — будете на виду. В-третьих — больше шансов, что ее уведут ваши же коллеги."
"Просите повышение зарплаты в середине проекта, параллельно ищите новую работу.","Если вы хоть сколь-нибудь значимы в проекте, руководство пойдет навстречу в разгар работы. Если же нет или проект провалится, то у вас уже может быть другая работа. "
"Избегайте работы в коллективе, который вас раздражает. ",Постоянное нервное напряжение не может не сказаться на здоровье в долгосрочной перспективе.
"Не устраивайтесь на работу в государственные структуры, если Вам меньше 30 лет.","Вы скорее всего, научитесь там Имитации Бурной Деятельности, но никак не продуктивной работе."
"Если вам протягивают рекламку, не отказывайтесь, берите.","Это не сложно, а человек заработает сможет заработать лишнюю монету. Рекламу при этом можно не читать."
"При большой загруженности, когда Вам нужно выполнять множество дел одновременно, научитесь сосредотачиваться на одном деле в данный момент.","Гораздо проще и эффективнее думать только о том, что Вы делаете в данный момент."
"Подумайте, не будет ли удобнее ездить на работу на велосипеде.","Это полезно для здоровья, а содержание велосипеда гораздо дешевле, чем содержание автомобиля."
На работе думайте о работе… ,"Если вы действительно хотите повышения, то думайте на работе только о ней."
"Не хочется делать нудную монотонную работу, но надо — предложи кому-нибудь поработать наперегонки.",Соревнование подстегивает азарт.
Не нанимайте работать друзей и родственников.,Как вы ими будете командовать и требовать исполнение работы?
"Идя к начальнику с какой нибудь идеей, будьте готовы выполнить ее сами.","Кто придумал, тот и водит."
"Прежде чем открывать свое дело, поработай в этой сфере простым служащим.","Чтобы управлять системой, нужно познать систему изнутри."
Если в компании\рабочем коллективе появился новичок — почаще называйте друг друга по именам в первое время.,Это простой и ненавязчивый способ помочь ему быстрее запомнить всех.
"Составляйте ТЗ так, чтобы у исполнителя возникло минимум вопросов. ","Техническое задание должно быть написано таким образом, чтобы однозначно понял даже ребенок."
Если Вам неприятен человек — не имейте с ним никаких дел.,"Обычно получается так, что этот человек подводит."
Если при устройстве на работу вам предлагают обязательное платное обучение или другие обязательные денежные вложения — бегите оттуда. ,"За работу должны платить вам, а не вы работодателю."
Отключите всплывающие окна в мессенджере.,"Приходит начальник посмотреть серьёзный проект, и тут вылезает окошко с веселым сообщением от друга."
Разрешайте неспециалистам использовать неправильную терминологию.,Неспециалисты не обязаны знать термины.
"Если продаете, не ругайте конкурентов. ","Разумнее всего говорить об объективных особенностях продуктов, своего и вражеского."
"Отправили резюме вероятному работодателю? Обязательно звоните сами, и не ждите, что вам позвонят. ",Нужно бороться за свое место под солнцем и не ждать погоды.
"На работе четко помните, зачем вы заходите в интернет.",Интернет может затянуть на несколько часов.
"Находясь на работе, следите за тем, что говорите и кому говорите. ",Все сказанное может однажды обернуться против вас.
"Дружба дружбой, а служба службой… ",Ни в коем случае не давайте подчиненным садиться Вам на шею.
Не вините во всем начальников. ,"Лучше подумайте, почему на его месте не Вы."
Не работайте с любимым человеком на одном предприятии.,"Неизбежны столкновения и ""рабочие моменты"", которые волей-неволей он (она) будет принимать как личную неприязнь."
"Подавайте заявление об увольнении только тогда, когда получите зарплату за прошедший период.","Пишите заявление только после расчета за прошлый период, чтобы гарантированно получить зарплату."
"Читайте до конца все, что подписываете.","Лучше потерять немного времени, чем спокойствие и деньги."
"Научись понимать, какие дела надо сделать качественно, а какие — быстро.",Порой именно умение расставлять приоритеты отличает успешного человека от неудачника.
При трудоустройстве никогда не соглашайтесь работать без договора или любой другой гарантии получения зарплаты. ,"Даже на испытательный срок должны заключать временные договора. Не покупайтесь на имидж и ""солидность"" фирмы."
Не переходите на личности на работе. ,Работа — есть работа. Старайтесь абстрагироваться от ваших эмоций.
"Если у вас спрашивают, можете ли сделать определенную работу, никогда не отвечайте ""Легко!"". ","Работа, даже очень простая с виду, может оказаться гораздо сложнее, чем казалось."
"Не заводите никаких дел с людьми, которые ничего не решают.",Беседы с разнообразными помощниками и секретарями усложнят вам жизнь.
"Критика — лично, похвала — публично.","Критика должна быть конструктивна, и не должна выходить за рамки личной беседы."
Документы на завтра распечатывайте с вечера.,Вы можете легко забыть распечатать их утром.
Не пейте сильно на корпоративах.,Вам еще работать с этими людьми!
"При просьбах или поручениях обозначайте срок, в который нужно их выполнить.","Иначе тот, кого вы просите, может просто не сделать это к нужному моменту."
"Работая с клиентами, ни в коем случае не показывайте свою зависимость от начальства. ","Избегайте фраз о том, что Вам надо посоветоваться с руководством."
Старайся не опаздывать,Опоздания еще никогда не были полезны.
"Прежде чем начать разговор в мессенджере, убедитесь, что Вы пишете тому, кому хотели.","Часто бывает, что шлешь сообщение не туда."
Пишите в мессенджерах сразу полными фразами. ,Отдельные короткие сообщения раздражают собеседников.
Придумывайте хорошие пароли с помощью любимых песен. ,Хорошие = легкозапоминаемые + трудновзламываемые. 
"Если у вас семёрка, используйте Win + 1 (2,3,4) чтобы быстро запустить прикреплённые к таскбару программы","А если на этом месте уже открыто несколько программ, то это сочетание позволяет быстро переключаться между ними."
Справиться с неразберихой в проводах помогут хомуты. ,Одна упаковка обычных пластиковых хомутов поможет вам навести порядок в проводах за компьютером.
"Перед важной презентацией, которую ты планируешь провести на своём компьютере, разберись с историей, а также внешним видом рабочего стола.","Никогда не знаешь, понадобится ли браузер, проводник или рабочий стол во время презентации."
"Если софт бесплатный, качайте его с официального сайта, а не с варез-порталов или файлообменников. ",Так вы получите просто программу и без вирусов и минутных ожиданий.
"Научитесь наконец пользоваться клавиатурой, а не только мышью.","Копировать, вставлять, вырезать а также много другое выполнять с текстом гораздо быстрее на клавиатуре, чем мышкой. "
Не форматируйте текст в Word с помощью клавиши «пробел»!,"Для нормального форматирования есть кнопки «Выравнивание по центру (левому, правому краю, ширине)» или табуляция."
"Содержите в порядке не только рабочий стол, но и desktop своего компьютера.",Порядок должен быть повсюду.
Используй коврик для мыши с поддержкой запястья.,"Он обеспечивает поддержку руки во время работы за компьютером, снимая нагрузку с мускулов запястья."
"Перед тем, как закрыть крышку ноутбука убедитесь, что на клавиатуре ничего не лежит, например, флешка.",Итогом такого закрытия может стать треснувший экран.
Если вы на чужом компьютере копировали через буфер обмена инфу не для посторонних — скопируйте в него что-нибудь неважное перед уходом.,"Может возникнуть ситуация, когда человек ошибется при нажатии на Ctrl + C и после Ctrl + V увидит вашу информацию."
Везде бери с собой флешку. ,Эта крошечная вещица иногда может понадобиться в неожиданный момент.
Научитесь печатать вслепую! ,"Каждый человек, работающий на компьютере, должен уметь быстро печатать."
"Чаще моргайте, когда долго пялитесь в монитор. ","При моргании происходит увлажнение глаз, их очищение и легкий массаж."
Умейте грамотно показывать результаты своей работы начальству.,Начальство должно видеть конкретный результат и ассоциировать его с вашей успешной работой.
Не сиди в офисе. ,"Ещё ни один человек на смертном одре не жалел, что недостаточно времени сидел в офисе."
Самопоощрение увеличивает работоспособность и дисциплину.,Попробуйте поощрять себя за удачное выполнение определенной задачи.
Не пытайтесь набиться в друзья начальнику.,Из этого редко выходит что-то путное.
"Ваша работа не будет заботиться о вас, когда вы больны. ",Ваши друзья - да. Оставайтесь на связи.
Не используйте в качестве пароля свою дату рождения.,Такой пароль взламывается с 100% вероятностью.
"Пишите списки задач.
Пишите списки задач.
Пишите списки задач.
",Потратив несколько минут на составление списка и расстановку приоритетов можно сделать в разы больше дел. И ничего при этом не забыть.
Держите на работе запасной зонт или полиэтиленовый плащ.,Так вы гарантированно будете застрахованы от промокания под внезапно грянувшим дождем.
Заведите визитные карточки.,Напишите на них всю контактную информацию — пригодится в делах.
Работает — не трогай!,А если что-то нужно улучшить - будьте готовы всегда откатить изменения обратно.
Не напивайтесь на корпоративах!,"Если хотите спокойно работать, без шепота и смешков за спиной, то старайтесь не напиваться на корпоративах до безумия и не приставайте к бухгалтершам и секретаршам."
"Не хочется делать нудную монотонную работу, но надо — делегируй.","Всегда найдется человек, который будет готов выполнить вашу работу за вознаграждение."
Держите на работе чистые носки или колготки.,"И тогда вам не придется краснеть, если вас вечером пригласят в гости."
При обучении работе на компьютере не бойтесь его сломать.,Иначе будете учиться долго и мучительно.
Старайтесь встречать свою девушку или жену с работы. ,"Улицы очень небезопасны, особенно по вечерам."
Не ссылайтесь на Википедию в своих работах.,"Большинство людей, проверяющих подобные материалы, не приемлют Википедию в качестве достоверного источника."
Держите у себя на работе запасные ключи от дома и немного денег.,Однажды такая заначка может здорово пригодится.
Не стоит зависеть от неадекватных людей.,Низкооплачиваемая работа с сумасшедшим начальником хуже низкооплачиваемой работы с вменяемым начальником.
Заболели гриппом? Сидите дома и лечитесь. Никакой работы!,"Работа подождет, а здоровье не купишь за деньги."
"Не стоит бросать любимое дело, работу или увлечение только потому, что вас попросил об этом близкий вам человек.","Делайте так, как считаете нужным только Вы."
Трезво оценивайте себя и свои возможности.,"Если ищете работу — не перегружайте свое резюме тем, о чем имеете лишь отдаленное понятие."
"Попробуй хоть раз пройти от работы до дома пешком, даже если до неё добираться несколько часов. ",Прогулка в одиночестве до дома может натолкнуть вас на полезные мысли. Да и вообще свежий воздух полезен.
Не создавайте проблем сами себе.,"Если работа, которую необходимо сделать, может подождать до завтра, а выполнение ее сегодня повлечет за собой преодоление трудностей — отложите на более удобное время. "
Не оставляйте важные дела на последний день.,"Распределяйте задачи так, чтобы успеть все вовремя и избежать аврала."
Всегда собирайтесь на работу или занятия с вечера.,"Все важные вещи, деньги, ключи, одежду заранее приготовьте и сложите в одном месте. Так вы гарантированно не забудете ничего взять."
Почаще пересматривайте свои привычные методы работы.,"Кто сказал, что вы работаете на 100% эффективно?"
Не засоряйте свои рабочие места.,"Рабочее место должно оставаться рабочим, а не личным."
"Помогая человеку на работе, помни, что ты только помогаешь.",Не надо выполнять всю работу целиком. Так вы избежите неловких ситуаций после отчета о работе начальству.
"Не мешайте человеку, считающему наличные деньги.",Подождите пока человек закончит считать и затем заводите разговор.
Ведите контактный лист в телефоне как можно полнее. ,"Заносите туда e-mail, адрес, фамилии, должность и место работы, пишите заметки. Используйте Google контакты."
"Не спрашивайте у человека, сколько он зарабатывает.",Зачастую этот вопрос раздражает собеседника.
Кофе с сигаретой? Бросайте эту моду.,Перегар от кофе и сигареты разносится на весь офис и совершенно омерзителен.
У всех есть таланты. Важно помнить об этом и искать свой.,Как только вы найдете его - старайтесь развивать.
"Если спать некогда, но очень хочется — спите 15 минут.","Прямо на рабочем месте оденьте наушники, поставьте таймер на 15 минут и отключитесь от мира. "
"Многие люди не любят получать умные советы, особенно когда это еще и замаскированная критика.",Дух противоречия так и тянет сделать наперекор добрым советникам.
"Введите правило – под руками только те бумаги, которыми вы занимаетесь в данный момент.",Рабочий стол должен быть чистым.
"Поставьте на рабочем столе горшок или вазу с цветами, тарелку с яркими фруктами.","Зеленый цвет поднимет настроение. А запах базилика или мяты активизирует работу мозга, тонизирует и придает ясность мыслям. "
Выберите стул с мягкой обивкой или крутящееся компьютерное кресло с регулируемой спинкой.,Высота сидения должна быть четко отрегулирована под ваши физические параметры. 
"Вместо стандартных печенек и конфет, требуйте в офис свежие фрукты.",Это гораздо полезнее и помогает держать в тонусе тело и мозг.
Выделите место для стоянки велосипедов.,"Если хотя бы несколько сотрудников с офиса любят кататься на велосипедах, отлично было бы найти место для их хранения."
Заранее готовьтесь к собеседованиям.,"Запаситесь историями из собственной жизни, отражающими ваши лучшие качества."
На работе говорите по делу.,"Историями из собственной жизни не стоит увлекаться, пусть они будут лишь иллюстрациями вашего профессионализма."
Никогда не врите о своих навыках на работе.,Рано или поздно вранье будет замечено и может послужить поводом для увольнения.
Одевайтесь на работу опрятно.,"Не стоит выглядеть на работе страшным, небритым и одевать рваные или старые вещи. Сотрудники это не оценят."
Перестаньте стараться быть идеальным и всезнающим на работе.,"Никогда и ничто не станет таковым. Это только приводит к ложным ожиданиям, ведущим к чрезмерным стрессам в определенных ситуациях."
Перестаньте пытаться все контролировать все рабочие процессы.,"Делайте только то, что должны, не мешая другим людям делать свою работу. Доверяйте коллегам."
Избегайте чрезмерной рабочей нагрузки.,"Перерабатывая, вы можете получить серьезные проблемы со здоровьем, а недостаток личного времени может привести к ухудшению отношений в семье."
